Matrícula,Marca
AGT 680 MC,ZHONG TONG
AGT 685 MC,ZHONG TONG
AGT 690 MC,ZHONG TONG
AGT 702 MC,ZHONG TONG
AGT 703 MC,ZHONG TONG
AGT 718 MC,ZHONG TONG
AGT 720 MC,ZHONG TONG
AGT 722 MC,ZHONG TONG
AGT 725 MC,ZHONG TONG
AGT 729 MC,ZHONG TONG
AGT 741 MC,ZHONG TONG
AGV 045 MC,VOLSKWAGEN
AGV 441 MC,VOLSKWAGEN
AGV 447 MC,VOLSKWAGEN
AGV 448 MC,VOLKSWAGEN
AGV 705 MC,VOLSKWAGEN
AGV 706 MC,VOLSKWAGEN
AGV 995 MC,ZHONG TONG
AGX 351 MC,TATA 
AGX 353 MC ,TATA
AGY  671 MC,TATA
AGY 677 MC,TATA
AGY 678 MC,TATA
AGY 680 MC,TATA 
AGY 683 MC ,TATA
AGY 688 MC,TATA
AGY 693 MC ,TATA
AGY 696 MC ,TATA
AGZ 244 MC ,TATA
AGZ 247 MC,TATA
AGZ 251 MC ,TATA
AGZ 279 MC,TATA
AGZ 281 MC ,TATA
AGZ 282 MC,YUTONG
AGZ 285 MC,TATA 
AGZ 286 MC,TATA
AGZ 294 MC,TATA
AGZ 306 MC ,TATA
AGZ 322 MC,TATA
AGZ 327 MC,TATA
AGZ 331 MC ,TATA
AGZ 681 MC,TATA
AGZ 697 MC,TATA
AHA 232 MC ,TATA
AHA 235 MC,TATA
AHA 236 MC ,TATA
AHA 238 MC,TATA
AHA 282 MC,TATA
AHA 285 MC ,TATA
AHA 294 MC,TATA
AHA 298 MC,TATA
AHA 393 MC ,TATA
AHA 953 MC ,TATA
AHJ 595 MC,VOLKSWAGEN
AHJ 598 MC ,ZHONG TONG
AHJ 600 MC,VOLKSWAGEN
AHJ 605 MC,VOLKSWAGEN
AHJ 607 MC,VOLKSWAGEN NEO
AHJ 609 MC,VOLKSWAGEN
AHJ 611 MC,VOLKSWAGEN NEO
AHJ 617 MC,VOLKSWAGEN NEO
AHJ 621 MC,VOLKSWAGEN
AHJ 622 MC,VOLSKWAGEN
AHJ 623 MC,VOLKSWAGEN
AHJ 625 MC,VOLKSWAGEN
AHJ 626 MC,VOLKSWAGEN
AHJ 628 MC,VOLSKWAGEN
AHJ 629 MC,VOLKSWAGEN NEO
AHJ 633 MC,VOLKSWAGEN NEO
AHJ 635 MC,VOLKSWAGEN NEO
AHJ 636 MC,VOLKSWAGEN
AHJ 640 MC,VOLKSWAGEN
AHJ 641 MC,VOLKSWAGEN
AHJ 645 MC,VOLSKWAGEN
AHJ 651 MC,VOLSKWAGEN
AHJ 655 MC,VOLKSWAGEN NEO
AHJ 656 MC,VOLKSWAGEN NEO
AHJ 658 MC,VOLKSWAGEN NEO
AHJ 664 MC,VOLKSWAGEN
AHJ 670 MC,VOLKSWAGEN NEO
AHJ 675 MC,VOLKSWAGEN NEO
AHJ 685 MC,VOLKSWAGEN
AHJ 687 MC,VOLKSWAGEN NEO
AHJ 690 MC,VOLKSWAGEN NEO
AHJ 692 MC,ZHONG TONG
AHJ 702 MC,ZHONG TONG
AHJ 705 MC,VOLKSWAGEN NEO
AHJ 711 MC,VOLKSWAGEN
AHJ 713 MC,VOLKSWAGEN NEO
AHJ 715 MC,VOLKSWAGEN NEO
AHV 671 MC ,YUTONG
AHV 724 MC ,YUTONG
AHV 728 MC ,YUTONG
AHV 729 MC ,YUTONG
AHV 752 MC ,YUTONG
AHV 759 MC ,YUTONG
AHV 760 MC ,YUTONG
AHV 766 MC ,YUTONG
AHV 948 MC ,YUTONG
AHW 018 MC,YUTONG
AHW 056 MC,YUTONG
AHW 072 MC,YUTONG
AHW 076 MC,YUTONG
AHW 089 MC,YUTONG
AHW 094 MC,YUTONG 
AHW 100 MC,YUTONG
AHW 294 MC,YUTONG
AHW 296 MC,YUTONG
AIG 379 MC,FUSO CANTER
AIH 890 MC,FUSO CANTER
AIH 895 MC ,ZHONG TONG 
AIH 905 MC,ZHONG TONG
AIH 912 MC,ZHONG TONG
AIH 914 MC,ZHONG TONG
AIH 920 MC,ZONG TONG
AIH 922 MC ,ZHONG TONG 
AIH 929 MC,ZHONG TONG
AIH 941 MC,ZHONG TONG
AIH 942 MC ,FUSO CANTER
AIH 947 MC,ZHONG TONG
AIH 951 MC ,ZHONG TONG 
AIH 960 MC,ZONG TONG
AIH 964 MC,ZHONG TONG
AIH 966 MC,ZHONG TONG
AIH 973 MC,ZHONG TONG
AIH 976 MC,ZONG TONG
AIH 983 MC ,ZONG TONG
AIH 984 MC,ZONG TONG
AIH 987 MC,ZHONG TONG
AIH 988 MC,ZHONG TONG
AIH 992 MC,ZHONG TONG
AIH 994 MC,ZHONG TONG
AIH 996 MC,ZHONG TONG
AII 003 MC,ZHONG TONG
AII 004 MC ,ZONG TONG
AII 005 MC,ZHONG TONG 
AII 007 MC,ZONG TONG
AII 020 MC,ZHONG TONG
AIL 168 MC,FUSO CANTER
AIP 850 MC,FUSO CANTER
AIP 852 MC,FUSO CANTER
AIP 853 MC,FUSO CANTER
AIP 855 MC,FUSO CANTER
AIR 035 MC,FUSO CANTER
AIR 036 MC,FUSO CANTER
AIR 039 MC,FUSO CANTER
AIV 486 MC ,FUSO CANTER
AEP 169 MC,FUSO CANTER
AFE 562 MP,FUSO CANTER
AGT 655 MC,FUSO CANTER
AGT 648 MC,FUSO CANTER
AHJ 665 MC,FUSO CANTER
AFH 108 MC,FUSO CANTER
AGV 695 MC,FUSO CANTER
AGT 691 MC,FUSO CANTER
AFH 027 MC,FUSO CANTER
AFH 088 MC,FUSO CANTER
AIH 990 MC,FUSO CANTER
AFH 090 MC,FUSO CANTER
AHJ 672 MC,FUSO CANTER
AFH 099 MC,FUSO CANTER
AIH 018 MC,FUSO CANTER
AFH 142 MC,FUSO CANTER
AGT 629 MC,FUSO CANTER
AHW 086 MC,FUSO CANTER
AGT 639 MC,FUSO CANTER
AGT 723 MC,FUSO CANTER
AGT 712 MC,FUSO CANTER
AGT 658 MC,FUSO CANTER
AGT 677 MC,FUSO CANTER
AGT 682 MC,FUSO CANTER
AGT 683 MC,FUSO CANTER
AGT 687 MC,FUSO CANTER
AGT 692 MC,FUSO CANTER
AGZ 348 MC,FUSO CANTER
AGZ 694 MC,FUSO CANTER
AGT 694 MC,FUSO CANTER
AGT 719 MC,FUSO CANTER
AGT 672 MC,FUSO CANTER
AGT 695 MC,FUSO CANTER
AGT 697 MC,FUSO CANTER
AGT 738 MC,FUSO CANTER
AGT 698 MC,FUSO CANTER
AGT 699 MC,FUSO CANTER
AGT 706 MC,FUSO CANTER
AGT 707 MC,FUSO CANTER
AGT 709 MC,FUSO CANTER
AGT 710 MC,FUSO CANTER
AGT 714 MC,FUSO CANTER
AGT 726 MC,FUSO CANTER
AGT 708 MC,FUSO CANTER
AGT 731 MC,FUSO CANTER
AGT 732 MC,FUSO CANTER
AGT 734 MC,FUSO CANTER
AGT 739 MC,FUSO CANTER
AHA 229 MC,FUSO CANTER
AGY 672 MC,FUSO CANTER
AGT 742 MC,FUSO CANTER
AGU 673 MC,FUSO CANTER
AGU 674 MC,FUSO CANTER
AGU 676 MC,FUSO CANTER
AGZ 293 MC,FUSO CANTER
AGU 681 MC,FUSO CANTER
AGU 682 MC,FUSO CANTER
AGU 683 MC,FUSO CANTER
AIH 900 MC,FUSO CANTER
AGZ 250 MC,FUSO CANTER
AGV 047 MC,FUSO CANTER
AGV 048 MC,FUSO CANTER
AGV 049 MC,FUSO CANTER
AGT 724 MC,FUSO CANTER
AGT 650 MC,FUSO CANTER
AGT 716 MC,FUSO CANTER
AGV 051 MC,FUSO CANTER
AGZ 246 MC,FUSO CANTER
AGT 713 MC,FUSO CANTER
AGY 699 MC,FUSO CANTER
AGV 052 MC,FUSO CANTER
AHW 092 MC,FUSO CANTER
AGV 053 MC,FUSO CANTER
AIH 956 MC,FUSO CANTER
AGV 443 MC,FUSO CANTER
AGV 446 MC,FUSO CANTER
AGV 692 MC,FUSO CANTER
AGV 694 MC,FUSO CANTER
AGV 696 MC,FUSO CANTER
AGV 698 MC,FUSO CANTER
AGV 700 MC,FUSO CANTER
AGV 702 MC,FUSO CANTER
AGV 704 MC,FUSO CANTER
AGV 708 MC,FUSO CANTER
AGV 709 MC,FUSO CANTER
AGV 996 MC,FUSO CANTER
AGV 997 MC,FUSO CANTER
AGX 348 MC,FUSO CANTER
AGX 349 MC,FUSO CANTER
AGX 353 MC,FUSO CANTER
AGX 354 MC,FUSO CANTER
AGY 671 MC,FUSO CANTER
AGY 682 MC,FUSO CANTER
AGY 683 MC,FUSO CANTER
AGY 684 MC,FUSO CANTER
AGY 686 MC,FUSO CANTER
AGY 690 MC,FUSO CANTER
AGY 692 MC,FUSO CANTER
AGY 693 MC,FUSO CANTER
AGY 696 MC,FUSO CANTER
AGY 701 MC,FUSO CANTER
AGZ 241 MC,FUSO CANTER
AGZ 242 MC,FUSO CANTER
AGZ 244 MC,FUSO CANTER
AGZ 248 MC,FUSO CANTER
AGZ 251 MC,FUSO CANTER
AGZ 253 MC,FUSO CANTER
AGZ 278 MC,FUSO CANTER
AGZ 280 MC,FUSO CANTER
AGZ 281 MC,FUSO CANTER
AGZ 284 MC,FUSO CANTER
AGZ 290 MC,FUSO CANTER
AGZ 334 MC,FUSO CANTER
AGZ 291 MC,FUSO CANTER
AIH 894 MC,FUSO CANTER
AGZ 295 MC,FUSO CANTER
AGZ 297 MC,FUSO CANTER
AGZ 298 MC,FUSO CANTER
AGZ 306 MC,FUSO CANTER
AGZ 309 MC,FUSO CANTER
AGZ 318 MC,FUSO CANTER
AGZ 331 MC,FUSO CANTER
AGZ 411 MC,FUSO CANTER
AGZ 708 MC,FUSO CANTER
AHA 236 MC,ZONG TONG
AHA 237 MC,ZONG TONG
AHA 239 MC,ZONG TONG
AHA 244 MC,ZONG TONG
AHA 247 MC,ZONG TONG
AHA 249 MC,ZONG TONG
AHA 256 MC,ZONG TONG
AHA 285 MC,ZONG TONG
AHA 303 MC,ZONG TONG
AHA 306 MC,ZONG TONG
AHA 308 MC,ZONG TONG
AHA 950 MC,ZONG TONG
AHA 953 MC,ZONG TONG
AHD 329 MC,ZONG TONG
AHD 332 MC,ZONG TONG
AHJ 598 MC,FUSO CANTER
AHJ 601 MC,ZONG TONG
AHJ 604 MC,ZONG TONG
AHJ 612 MC,ZONG TONG
AHJ 616 MC,ZONG TONG
AHJ 619 MC,ZONG TONG
AHJ 620 MC,ZONG TONG
AHJ 638 MC,ZONG TONG
AHJ 643 MC,ZONG TONG
AHJ 644 MC,ZONG TONG
AHJ 648 MC,ZONG TONG
AHJ 650 MC,ZONG TONG
AHJ 653 MC,ZONG TONG
AHJ 660 MC,ZONG TONG
AHJ 668 MC,ZONG TONG
AHJ 673 MC,ZONG TONG
AHJ 679 MC,ZONG TONG
AHJ 683 MC,ZONG TONG
AHJ 695 MC,ZONG TONG
AHJ 707 MC,ZONG TONG
AHJ 714 MC,ZONG TONG
AHV 671 MC,ZONG TONG
AHV 724 MC,ZONG TONG
AIH 957 MC,ZONG TONG
AHV 728 MC,ZONG TONG
AHV 729 MC,ZONG TONG
AHW 061 MC,ZONG TONG
AHV 752 MC,ZONG TONG
AHV 759 MC,ZONG TONG
AHV 760 MC,ZONG TONG
AHW 067 MC,ZONG TONG
AHV 766 MC,FUSO CANTER
AHV 889 MC,FUSO CANTER
AHV 891 MC,FUSO CANTER
AHV 948 MC,FUSO CANTER
AHW 059 MC,FUSO CANTER
AHW 061 MC ,FUSO CANTER
AHW 064 MC,FUSO CANTER
AHW 069 MC,FUSO CANTER
AHW 079 MC,FUSO CANTER
AHW 082 MC,FUSO CANTER
AHW 096 MC,FUSO CANTER
AHW 102 MC,FUSO CANTER
AHW 104 MC,FUSO CANTER
AHW 299 MC,FUSO CANTER
AIH 887 MC,FUSO CANTER
AIH 895 MC,FUSO CANTER
AIH 896 MC,TATA
AIH 902 MC,TATA
AIH 910 MC,TATA
AIH 922 MC,FUSO CANTER
AIH 925 MC,TATA
AIH 933 MC,TATA
AIH 935 MC,TATA
AIH 937 MC,TATA
AIH 940 MC,TATA
AIH 944 MC,TATA
AIH 945 MC,TATA
AIH 959 MC,TATA
AIH 963 MC,TATA
AIH 970 MC,TATA
AIH 971 MC,TATA
AIH 972 MC,TATA
AIH 974 MC,TATA
AIH 978 MC,TATA
AIH 979 MC,TATA
AIH 980 MC,TATA
AIH 983 MC,FUSO CANTER
AIH 985 MC,ASHOK LEY
AIH 991 MC,ASHOK LEY
AIH 993 MC,ASHOK LEY
AIH 954 MC,ASHOK LEY
AIH 995 MC,ASHOK LEY
AIH 997 MC,ASHOK LEY
AIH 998 MC,ASHOK LEY
AII 004 MC,FUSO CANTER
AII 013 MC,ASHOK LEY
AII 015 MC,ASHOK LEY
AII 015 MC ,ASHOK LEY
AII 016 MC,ASHOK LEY
AII 017 MC,ASHOK LEY
AII 021 MC,ASHOK LEY
AII 022 MC,ASHOK LEY
